condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,solve_status,pO2_ca_in_target_kPa,pO2_ca_in_target_error_kPa,abs_pO2_error_kPa,pressure_order_ok,dq60_speed_min_flow_lpm,dq60_speed_max_flow_lpm,dq60_speed_flow_in_grid,condition_target,current_density_target_A_cm2,pO2_ca_in_noEGR_kPa,air_flow_control,lookup_quality,study_type,pO2_target_ok,oxygen_ok,thermal_ok,humidity_ok,dq60_global_map_ok,dq60_operating_map_ok,normal_operation_ok,risk_label
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0,1,49.7,0.795989944779641,483.961886426022,18.2062582118464,136.245223115523,61.7074477785523,-178.762725371378,278.470113573978,124.719181265611,330.370605261478,2.14305241826627,3.11058069398807,0.001071035,0,0.000690570341791254,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7074477785523,0,5.5,61.6,60.6,1160.7422968259,no_egr_reference,26.4313536258226,0,0,1,80,450,0,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,good,constant_pO2_DQ60_speed_flow,1,1,1,1,0,0,0,dq60_map_boundary
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.05,12,596.4,0.794581808112514,483.105739332409,21.4708558352315,135.230682843786,61.699600220387,-167.192458888909,279.326260667591,115.6140071049,330.299745832661,0.604966618940241,0,0.01285242,8.43499734950575e-06,0.000160264949640609,8.43499734950575e-06,0.05,6000,684.604154695173,28.2419287294137,1.25143048056456,457.84216060306,0,112.325,58.920536624916,140.566928729414,94.366338964749,58.9,140.566928729414,0.186989833087921,26.2845865407948,0.794478334251641,64.699600220387,0,5.5,61.6,60.6,1160.78063538128,near_target_review_DQ60_boundary,26.4313536258226,-0.14676708502774,0.14676708502774,1,590,880,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.1,13.8,685.86,0.794924888404822,483.314332150132,22.4692568338264,135.706154887744,61.695916713432,-163.264603240826,279.117667849868,111.344059796956,330.266515712953,0.771695580785486,0,0.014780283,2.257562312711e-05,0.00020318060814399,2.257562312711e-05,0.1,6500,787.270586956541,29.8321374456493,1.26558769148141,553.876499405399,0,112.325,58.9511259033895,142.157137445649,96.2386998240476,58.9,142.157137445649,0.186993513821512,26.5824626457697,0.800925239647911,64.695916713432,0,5.5,61.6,60.6,1160.84106526358,near_target_review_DQ60_boundary,26.4313536258226,0.151109019947107,0.151109019947107,1,685,960,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.15,13.8,685.86,0.794923833885605,483.313691002448,22.4659494215793,135.706021294344,61.6959188434713,-163.266402765156,279.118308997552,111.346527741054,330.266534919297,0.771649102357424,0,0.014780283,3.38610300360117e-05,0.000191879170204066,3.38610300360117e-05,0.15,6500,787.261300127061,29.8335227310468,1.26560002431379,553.94281957125,0,112.325,58.9766826722284,142.158522731047,96.26872133925,58.9,142.158522731047,0.186977291686329,26.5804155703806,0.799040668237968,64.6959188434713,0,5.5,61.6,60.6,1160.84101633681,near_target_review_DQ60_boundary,26.4313536258226,0.149061944558031,0.149061944558031,1,685,960,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.2,13.8,685.86,0.794922777599985,483.313048780791,22.4626370589648,135.705887511164,61.6959209753279,-163.268203269618,279.118951219209,111.348997789312,330.266554142016,0.771602557498871,0,0.014780283,4.51448292871197e-05,0.000180579317148479,4.51448292871197e-05,0.2,6500,787.25203604883,29.8349046227162,1.26561232693271,554.009078267133,0,112.325,59.0022353073162,142.159904622716,96.2987345824757,58.9,142.159904622716,0.186960856871971,26.5783375811007,0.797156220727357,64.6959209753279,0,5.5,61.6,60.6,1160.84096735565,near_target_review_DQ60_boundary,26.4313536258226,0.14698395527811,0.14698395527811,1,685,960,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.25,4,198.8,0.795570815982292,483.707056117234,22.3982557429571,137.298287678041,61.7023222830789,-171.708715471897,278.724943882766,118.773588317629,330.32433472202,1.33573631501505,0,0.00428414,0.00010420332401484,0.00031260997204452,0.00010420332401484,0.25,4000,229.267597978629,32.3049301516028,1.28760231606145,173.355840537554,0,112.325,60.1575621304076,144.629930151603,100.420806018144,58.9,144.629930151603,0.183307277405561,26.5117187274467,0.826164028473758,64.7023222830789,0,5.5,61.6,60.6,1160.77930186522,pO2_solved_but_stack_oxygen_limited,26.4313536258226,0.0803651016241638,0.0803651016241638,1,170,590,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,good,constant_pO2_DQ60_speed_flow,1,0,1,1,1,1,0,oxygen_limit
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.3,4,198.8,0.795564466694167,483.703195750054,22.3776420572364,137.29873147402,61.7023266367167,-171.710091432151,278.728804249946,118.778626690659,330.324373932279,1.33589505915955,0,0.00428414,0.000125059965536326,0.000291806586251428,0.000125059965536326,0.3,4000,229.481111158821,32.2889166630884,1.28745975217528,173.407706248987,0,112.325,60.4087300391455,144.613916663088,100.684020142241,58.9,144.613916663088,0.18253059632465,26.3964644453567,0.827459112602384,64.7023266367167,0,5.5,61.6,60.6,1160.77915293489,pO2_solved_but_stack_oxygen_limited,26.4313536258226,-0.0348891804658606,0.0348891804658606,1,170,590,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,good,constant_pO2_DQ60_speed_flow,1,0,1,1,1,1,0,oxygen_limit
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.35,4,198.8,0.795558039257289,483.699287868432,22.356806820091,137.299172583294,61.7023310290343,-171.711464019413,278.732712131568,118.783709787019,330.324413490589,1.33605287337341,0,0.00428414,0.000145921819788779,0.000270997665322018,0.000145921819788779,0.35,4000,229.694623782114,32.2729032163414,1.28731718866095,173.459387444647,0,112.325,60.6597827487923,144.597903216341,100.947076212022,58.9,144.597903216341,0.181742446064111,26.2795766262795,0.828719277314519,64.7023310290343,0,5.5,61.6,60.6,1160.77900230259,near_target_review_DQ60_boundary,26.4313536258226,-0.151776999543056,0.151776999543056,1,170,590,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.4,13.8,685.86,0.79491853471242,483.310469105151,22.4493379012384,135.705350473995,61.6959295210006,-163.275415122743,279.121530894849,111.358899108854,330.266631197308,0.771415711430236,0,0.014780283,9.02638810737824e-05,0.000135395821610674,9.02638810737824e-05,0.4,6500,787.215208705641,29.8403980347419,1.26566123333845,554.273494071398,0,112.325,59.1044043316194,142.165398034742,96.4187043689667,58.9,142.165398034742,0.18689298125664,26.5697150702498,0.789619696107073,64.6959295210006,0,5.5,61.6,60.6,1160.8407708842,near_target_review_DQ60_boundary,26.4313536258226,0.138361444427247,0.138361444427247,1,685,960,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.10_boundary_038A,1,38,0.1,38,0.1,0.45,13.8,685.86,0.794917469533895,483.309821476608,22.4460006338731,135.70521573692,61.6959316619985,-163.277220553029,279.122178523392,111.361379741354,330.266650502397,0.771368832669645,0,0.014780283,0.0001015395904858,0.000124103943927089,0.0001015395904858,0.45,6500,787.20605947808,29.8417627945197,1.26567338343663,554.339442203163,0,112.325,59.1299361638664,142.16676279452,96.4486759018342,58.9,142.16676279452,0.186875475862114,26.5674814490022,0.787735887946511,64.6959316619985,0,5.5,61.6,60.6,1160.84072162905,near_target_review_DQ60_boundary,26.4313536258226,0.13612782317961,0.13612782317961,1,685,960,1,pO2_ca_in,0.1,26.4313536258226,solved_flow_and_DQ60_speed,review,constant_pO2_DQ60_speed_flow,0,0,1,1,1,1,0,pO2_target_miss
